condition,repeat_idx,order,segment_id,duration_s,chars,text,full_latency_ms,stt_latency_ms,audio_s_per_decode_s
4s,2,2,rx-1789023866.663-4,4.064317226409912,43,한 명은 얼굴에 피가 나는 거 같고 다른 한 명은 넘어져서 다친 거 같습니다.,1902.752161026001,1889.3732180004008,2.1511457808803605
4s,2,3,rx-1789023873.383-5,4.064168691635132,43,한 명은 얼굴에 피가 나는 거 같고 다른 한 명은 넘어져서 다친 거 같습니다.,1918.372631072998,1904.8840859904885,2.133551706124876
4s,3,0,rx-1789023894.190-2,8.983713150024414,43,한 명은 얼굴에 피가 나는 것 같고 다른 한 명은 넘어졌어 다친 것 같습니다.,1879.657506942749,1864.878181979293,4.817319027503195
4s,3,1,rx-1789023905.830-3,4.0640339851379395,43,한 명은 얼굴에 피가 나는 거 같고 다른 한 명은 넘어져서 다친 거 같습니다.,1856.4672470092773,1843.379219993949,2.204665182865238
4s,3,2,rx-1789023912.550-4,4.064063310623169,43,한 명은 얼굴에 피가 나는 거 같고 다른 한 명은 넘어져서 다친 거 같습니다.,1931.5102100372314,1918.4586460178252,2.118400268392029
4s,3,3,rx-1789023919.270-5,4.064133644104004,43,한 명은 얼굴에 피가 나는 거 같고 다른 한 명은 넘어져서 다친 거 같습니다.,1890.8977508544922,1877.8691400075331,2.1642262272267283
4s,4,0,rx-1789023940.024-2,9.035141229629517,43,한 명은 얼굴에 피가 나는 것 같고 다른 한 명은 넘어졌어 다친 것 같습니다.,1851.076364517212,1838.6734859959688,4.913945460379215
4s,4,1,rx-1789023951.714-3,4.064083576202393,43,한 명은 얼굴에 피가 나는 거 같고 다른 한 명은 넘어져서 다친 거 같습니다.,1864.1176223754883,1851.0906670126133,2.195507572171612
4s,4,2,rx-1789023958.434-4,4.06409764289856,43,한 명은 얼굴에 피가 나는 거 같고 다른 한 명은 넘어져서 다친 거 같습니다.,1877.1581649780273,1864.089734008303,2.1802049379670354
4s,4,3,rx-1789023965.154-5,4.064069509506226,43,한 명은 얼굴에 피가 나는 거 같고 다른 한 명은 넘어져서 다친 거 같습니다.,1905.5345058441162,1892.4017529934645,2.147572260001104
7s,0,0,rx-1789023985.917-2,5.417683839797974,2,아~,133.74805450439453,104.87940302118659,51.65631843559934
7s,0,1,rx-1789023991.366-3,7.135941505432129,58,많은 분들이 좀 불안해하세요. 독감 백신 접종 사망자가 계속 나오고 있습니다. 지금까지 몇 명 나왔나요?,2732.276201248169,2711.0453979985323,2.632173371460448
7s,0,2,rx-1789024003.302-4,7.552249431610107,58,많은 분들이 좀 불안해하세요. 독감 백신 접종 사망자가 계속 나오고 있습니다. 지금까지 몇 명 나왔나요?,2771.5446949005127,2742.410895996727,2.7538723109052
7s,1,0,rx-1789024029.683-2,5.4185471534729,2,아~,150.17080307006836,120.96954102162272,44.79265695903038
7s,1,1,rx-1789024035.133-3,7.135900259017944,58,많은 분들이 좀 불안해하세요. 독감 백신 접종 사망자가 계속 나오고 있습니다. 지금까지 몇 명 나왔나요?,2735.7265949249268,2714.037013007328,2.6292567952531005
7s,1,2,rx-1789024047.069-4,7.552333116531372,58,많은 분들이 좀 불안해하세요. 독감 백신 접종 사망자가 계속 나오고 있습니다. 지금까지 몇 명 나왔나요?,2761.4660263061523,2732.18167500454,2.7642133704446366
7s,2,0,rx-1789024073.416-2,5.4176716804504395,2,아~,133.8508129119873,104.95394602185115,51.6195139468362
7s,2,1,rx-1789024078.866-3,7.1359474658966064,58,많은 분들이 좀 불안해하세요. 독감 백신 접종 사망자가 계속 나오고 있습니다. 지금까지 몇 명 나왔나요?,2675.557851791382,2654.3712410202716,2.688375821595224
7s,2,2,rx-1789024090.802-4,7.552006959915161,58,많은 분들이 좀 불안해하세요. 독감 백신 접종 사망자가 계속 나오고 있습니다. 지금까지 몇 명 나왔나요?,2724.8058319091797,2695.4689609992784,2.801741392382957
7s,3,0,rx-1789024117.105-2,5.4177772998809814,2,아~,135.90717315673828,106.9433460070286,50.66025612780912
7s,3,1,rx-1789024122.555-3,7.135987758636475,58,많은 분들이 좀 불안해하세요. 독감 백신 접종 사망자가 계속 나오고 있습니다. 지금까지 몇 명 나왔나요?,2710.765600204468,2689.6766490244772,2.6531024691107894
7s,3,2,rx-1789024134.491-4,7.552049875259399,58,많은 분들이 좀 불안해하세요. 독감 백신 접종 사망자가 계속 나오고 있습니다. 지금까지 몇 명 나왔나요?,2745.5594539642334,2716.3925759959966,2.780176157892183
7s,4,0,rx-1789024160.895-2,5.418513774871826,2,아~,149.23858642578125,119.1794479964301,45.46516925497198
7s,4,1,rx-1789024166.345-3,7.1358630657196045,58,많은 분들이 좀 불안해하세요. 독감 백신 접종 사망자가 계속 나오고 있습니다. 지금까지 몇 명 나왔나요?,2706.385612487793,2685.2335080038756,2.6574460077493214
7s,4,2,rx-1789024178.281-4,7.552098989486694,58,많은 분들이 좀 불안해하세요. 독감 백신 접종 사망자가 계속 나오고 있습니다. 지금까지 몇 명 나왔나요?,2744.518041610718,2715.2146950247698,2.7814003081689274
